,rank,elpd_diff,dse,p_worse,diag_diff,diag_elpd,p,elpd,se,weight
simple (topic intercept only),0,0.0,0.0,,,,191.8,-1330.0,22.0,1.0
maximal (topic slope),1,-2.0,0.98,0.98,|elpd_diff| < 4,,196.0,-1330.0,22.0,0.0
