participant,topic,condition,group,exact,partial,n_correct,n_questions
P25,birds,control,1,0.4,0.68,2,5
P25,fruits,repeat_short,1,0.6,0.8800000000000001,3,5
P25,astronomy,repeat_long,1,0.0,0.6,0,5
P25,musical_instruments,distractor,1,0.0,0.48,0,5
P26,birds,distractor,24,0.2,0.72,1,5
P26,fruits,repeat_long,24,0.2,0.8,1,5
P26,astronomy,repeat_short,24,0.8,0.96,4,5
P26,musical_instruments,control,24,0.2,0.8,1,5
P27,birds,repeat_short,8,0.2,0.7200000000000001,1,5
P27,fruits,control,8,0.4,0.8400000000000001,2,5
P27,astronomy,distractor,8,0.4,0.72,2,5
P27,musical_instruments,repeat_long,8,0.2,0.8,1,5
P28,birds,control,1,0.8,0.9199999999999999,4,5
P28,fruits,repeat_short,1,0.8,0.9199999999999999,4,5
P28,astronomy,repeat_long,1,0.8,0.96,4,5
P28,musical_instruments,distractor,1,0.6,0.8800000000000001,3,5
